PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA,DEC,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC
2,UGC12889,UGC 12889,UGC 12889,,00000168+4716282,-,-,0.006945,47.274581,0,0.933,0.589,163.5,H,1,3.1,0.4,53.37,5016.7,6.4,5203.2,10.43,1,1,67.9204,12.5114,56.4937,81.6582,46.9894,98.1748,N,,14.241,,,,0.605,,,0.526,0.296,,,,,0,0,0,0,,,,,,,,,0,0,10.643,9.892,9.542,0.03,0.031,0.039,2,,,,,,,,,,,,,,,,11.1632,,,,,,,,,11.078,,,,,-1,-1,?,?
3,PGC000003,MCG -03-01-012,,F23574-1817,00000316-1800289,-,-,0.013125,-18.0082,1,0.33,0.33,0.0,H,2,4.9,2.3,67.08,8954.0,29.0,8843.6,32.26,0,0,124.2548,15.7349,109.4754,141.0294,96.454,160.0687,Z,,15.15,,,,0.5,,,0.105,0.61,0.3972,0.1855,0.264,0.7494,1,1,3,1,,,,,,,,,0,0,15.466,14.946,14.645,0.103,0.14,0.133,3,,,,,,,,,,,,,43.3868,,,9.6466,,,,0.322,,,0.425,F3,9.5614,,,,,-1,-1,?,?
4,PGC000004,KUG 2357+228,KUG 2357+228,,,1237679478544072744,-,0.014292,23.087596,1,0.428,0.095,63.2,H,1,5.0,1.2,84.68,4461.7,3.7,4546.9,11.92,2,1,53.9879,8.501,46.9063,63.152,42.5164,80.0394,N,,16.88,,,,0.433,,,0.395,1.068,,,,,0,0,0,0,13.256657,13.285035,11.664301,11.276231,0.00742,0.025905,0.324935,4.781138,0,0,,,,,,,0,17.861,16.388,15.87,15.619,15.433,0.036,0.006,0.005,0.007,0.016,,,,,,,0.782,,,,,,,,,,,,,-1,-1,?,?
5,IC5370,IC 5370,,,00000914+3244182,1237663234987458745,-,0.038121,32.73842,0,0.391,0.391,0.0,H,2,-0.6,1.2,26.59,10365.2,16.0,10493.7,18.93,0,0,146.2144,16.7162,130.4184,163.9236,116.3289,183.7777,Z,,14.759,,,,0.334,,,0.212,0.0,,,,,0,0,0,0,10.308943,10.292552,9.330194,8.24662,0.000366,0.001237,0.029803,0.249182,0,0,11.546,10.837,10.511,0.021,0.024,0.033,2,16.127,14.276,13.45,13.08,12.793,0.007,0.002,0.002,0.002,0.002,,,,42.5742,42.1202,11.4416,0.899,,,,0.233,-0.198,0.222,W3,11.3953,,,,,-1,-1,?,?
6,PGC000006,KUG 2357+156,,F23574+1535,00000214+1552539,1237656496724312079,844551136588359680,0.008763,15.88167,0,0.2,0.144,89.6,H,1,3.5,4.7,45.67,6003.3,2.6,6054.5,12.42,0,0,85.6908,12.9795,73.6465,99.7048,63.2951,116.0107,Z,16.575,15.546,,,0.016,0.346,,,0.214,0.223,0.1322,0.0949,0.3516,1.029,1,1,3,2,12.10069,12.002372,8.327887,7.335429,0.001817,0.00575,0.011515,0.10074,0,0,13.206,12.541,12.231,0.049,0.072,0.079,2,16.58,15.462,14.909,14.632,14.374,0.013,0.003,0.003,0.003,0.005,,,43.1885,42.511,42.0206,10.2895,0.794,,,0.124,0.177,-0.289,0.227,F3,10.1894,-0.239,9.94,21.2,8.7275,0,0,?,N
7,PGC000007,ARK 590,ARK 590,,00000442-0004599,1237657190905217071,1228395055081875456,0.018555,-0.083357,0,0.287,0.232,161.1,H,1,-3.2,2.2,44.77,7125.0,2.6,7098.8,13.76,1,1,95.9401,20.3237,77.6247,118.577,62.8058,146.555,N,17.007,15.626,,,0.073,0.316,,,0.145,0.0,,,,,0,0,0,0,11.545856,11.537526,11.033997,,0.001461,0.005139,0.194006,,0,0,12.844,12.2,11.721,0.055,0.075,0.088,2,17.119,15.293,14.506,14.144,13.827,0.015,0.003,0.002,0.002,0.004,,,,41.5267,,10.5916,0.883,,,,-0.698,,-0.71,W3,10.5376,-1.811,10.442,2.06,8.5968,0,2,?,Y
10,PGC000010,ARK 591,,,00000784-0002264,1237657190905217208,435776070554249216,0.032608,-0.040549,0,0.279,0.22,131.4,H,1,-0.9,2.6,42.67,7092.9,2.7,7066.9,13.77,0,0,102.2506,12.7674,90.2481,115.8492,79.6546,131.2564,Z,16.749,15.741,,,0.13,0.278,,,0.143,0.0,,,,,0,0,0,0,12.226629,12.185693,8.825584,7.808808,0.002311,0.00779,0.020259,0.176092,0,0,13.567,12.866,12.304,0.101,0.116,0.118,2,16.886,15.687,15.124,14.87,14.605,0.02,0.003,0.003,0.003,0.006,,,,42.4654,41.9847,10.4137,0.798,,,,0.137,-0.322,0.125,W3,10.3156,-0.183,10.007,12.1,8.6701,0,0,?,N
12,PGC000012,MCG -01-01-016,,,00000865-0622263,1237680265074049113,-,0.03595,-6.373924,0,0.713,0.156,168.2,H,1,1.3,1.0,90.0,6546.5,4.9,6490.0,14.68,0,0,93.8732,13.8164,81.0254,108.7581,69.9361,126.0033,Z,,14.79,,,,0.457,,,0.197,0.548,,,,,0,0,0,0,10.724401,10.678596,7.39874,5.894296,0.001058,0.003853,0.009198,0.046063,0,0,12.137,11.405,11.125,0.03,0.038,0.055,2,16.285,14.888,14.138,13.731,13.386,0.018,0.003,0.002,0.002,0.004,,,,42.9618,42.6763,10.8111,0.868,,,,0.578,0.311,0.566,W3,10.7498,,,,,-1,-1,?,?
13,PGC000013,CGCG 498-057,,,,1237663307990106124,-,0.055533,33.134184,1,0.281,0.223,95.0,H,1,,,38.13,5046.0,37.0,5176.1,38.34,0,0,71.316,9.9553,62.0243,81.9996,53.9433,94.2836,Z,,15.389,,,,0.41,,,0.198,,,,,,0,0,0,0,11.726439,,8.688672,7.053775,0.001195,,0.014802,0.077998,0,0,,,,,,,0,17.121,15.667,15.131,14.595,14.446,0.015,0.003,0.003,0.003,0.005,,,,42.2072,41.9738,,,,,,-0.093,-0.332,-0.105,W3,,,,,,-1,-1,?,?
14,UGC12890,UGC 12890,,,00000701+0816448,1237669681724784668,-,0.029208,8.279111,0,0.774,0.414,9.5,H,1,-4.9,0.4,90.0,11602.0,10.8,11616.4,16.81,0,0,160.5188,18.04,143.4557,179.6116,128.2063,200.9753,Z,,16.185,,,,0.399,,,0.258,0.0,,,,,0,0,0,0,11.885655,11.752738,10.507647,,0.001004,0.003315,0.073328,,0,0,11.687,10.907,10.625,0.038,0.04,0.051,2,16.077,14.09,13.131,12.657,12.322,0.017,0.002,0.002,0.002,0.003,,,,,,11.4771,,,,,,,,,11.3919,,,,,-1,-1,?,?
